group,required,name,passes,relation,threshold,value
gru_absolute,True,lambda3.gru32@40101.success,True,>=,0.95,1.0
gru_absolute,True,lambda3.gru32@40101.moves_vs_neural,True,<=,27.68955221426491,26.371002108823724
gru_absolute,True,lambda3.gru32@40101.moves_vs_analytic,True,<=,31.74542998880533,26.371002108823724
gru_absolute,True,lambda3.gru32@40101.cost_vs_neural,False,<=,0.4400328201847879,0.9027787792234501
gru_absolute,True,lambda3.gru32@40102.success,True,>=,0.95,1.0
gru_absolute,True,lambda3.gru32@40102.moves_vs_neural,True,<=,27.68955221426491,26.371002108823724
gru_absolute,True,lambda3.gru32@40102.moves_vs_analytic,True,<=,31.74542998880533,26.371002108823724
gru_absolute,True,lambda3.gru32@40102.cost_vs_neural,False,<=,0.4400328201847879,0.8909302844437419
gru_absolute,True,lambda3.gru32@40103.success,True,>=,0.95,1.0
gru_absolute,True,lambda3.gru32@40103.moves_vs_neural,True,<=,27.68955221426491,26.371002108823724
gru_absolute,True,lambda3.gru32@40103.moves_vs_analytic,True,<=,31.74542998880533,26.371002108823724
gru_absolute,True,lambda3.gru32@40103.cost_vs_neural,False,<=,0.4400328201847879,0.8938137664952295
gru_absolute,True,lambda4.gru32@40101.success,True,>=,0.95,1.0
gru_absolute,True,lambda4.gru32@40101.moves_vs_neural,True,<=,47.07261279682161,44.83105980649677
gru_absolute,True,lambda4.gru32@40101.moves_vs_analytic,True,<=,62.283325653075025,44.83105980649677
gru_absolute,True,lambda4.gru32@40101.cost_vs_neural,False,<=,0.7501341779233849,1.540331937248143
gru_absolute,True,lambda4.gru32@40102.success,True,>=,0.95,1.0
gru_absolute,True,lambda4.gru32@40102.moves_vs_neural,True,<=,47.07261279682161,44.83105980649677
gru_absolute,True,lambda4.gru32@40102.moves_vs_analytic,True,<=,62.283325653075025,44.83105980649677
gru_absolute,True,lambda4.gru32@40102.cost_vs_neural,False,<=,0.7501341779233849,1.5203838922623816
gru_absolute,True,lambda4.gru32@40103.success,True,>=,0.95,1.0
gru_absolute,True,lambda4.gru32@40103.moves_vs_neural,True,<=,47.07261279682161,44.83105980649677
gru_absolute,True,lambda4.gru32@40103.moves_vs_analytic,True,<=,62.283325653075025,44.83105980649677
gru_absolute,True,lambda4.gru32@40103.cost_vs_neural,False,<=,0.7501341779233849,1.5223293796170727
mlp_absolute,False,lambda3.mlp190@40101.success,True,>=,0.95,1.0
mlp_absolute,False,lambda3.mlp190@40101.moves_vs_neural,True,<=,27.68955221426491,26.371002108823724
mlp_absolute,False,lambda3.mlp190@40101.moves_vs_analytic,True,<=,31.74542998880533,26.371002108823724
mlp_absolute,False,lambda3.mlp190@40101.cost_vs_neural,False,<=,0.4400328201847879,0.905364247565652
mlp_absolute,False,lambda3.mlp190@40102.success,True,>=,0.95,1.0
mlp_absolute,False,lambda3.mlp190@40102.moves_vs_neural,True,<=,27.68955221426491,26.371002108823724
mlp_absolute,False,lambda3.mlp190@40102.moves_vs_analytic,True,<=,31.74542998880533,26.371002108823724
mlp_absolute,False,lambda3.mlp190@40102.cost_vs_neural,False,<=,0.4400328201847879,0.9008989197824577
mlp_absolute,False,lambda3.mlp190@40103.success,True,>=,0.95,1.0
mlp_absolute,False,lambda3.mlp190@40103.moves_vs_neural,True,<=,27.68955221426491,26.371002108823724
mlp_absolute,False,lambda3.mlp190@40103.moves_vs_analytic,True,<=,31.74542998880533,26.371002108823724
mlp_absolute,False,lambda3.mlp190@40103.cost_vs_neural,False,<=,0.4400328201847879,0.8908363227391062
mlp_absolute,False,lambda4.mlp190@40101.success,True,>=,0.95,1.0
mlp_absolute,False,lambda4.mlp190@40101.moves_vs_neural,True,<=,47.07261279682161,44.83105980649677
mlp_absolute,False,lambda4.mlp190@40101.moves_vs_analytic,True,<=,62.283325653075025,44.83105980649677
mlp_absolute,False,lambda4.mlp190@40101.cost_vs_neural,False,<=,0.7501341779233849,1.517557841717141
mlp_absolute,False,lambda4.mlp190@40102.success,True,>=,0.95,1.0
mlp_absolute,False,lambda4.mlp190@40102.moves_vs_neural,True,<=,47.07261279682161,44.83105980649677
mlp_absolute,False,lambda4.mlp190@40102.moves_vs_analytic,True,<=,62.283325653075025,44.83105980649677
mlp_absolute,False,lambda4.mlp190@40102.cost_vs_neural,False,<=,0.7501341779233849,1.5430922210948141
mlp_absolute,False,lambda4.mlp190@40103.success,True,>=,0.95,1.0
mlp_absolute,False,lambda4.mlp190@40103.moves_vs_neural,True,<=,47.07261279682161,44.83105980649677
mlp_absolute,False,lambda4.mlp190@40103.moves_vs_analytic,True,<=,62.283325653075025,44.83105980649677
mlp_absolute,False,lambda4.mlp190@40103.cost_vs_neural,False,<=,0.7501341779233849,1.5038894997787873
usefulness,True,lambda3.success_vs_analytic,True,>=,1.0,1.0
usefulness,True,lambda3.moves_vs_analytic,True,<=,28.722055704157203,26.371002108823728
usefulness,True,lambda4.success_vs_analytic,True,>=,1.0,1.0
usefulness,True,lambda4.moves_vs_analytic,True,<=,56.351580352782165,44.83105980649677
recurrence,True,lambda3.success_vs_mlp,True,>=,1.0,1.0
recurrence,True,lambda3.moves_vs_mlp,True,<=,26.371002108823728,26.371002108823728
recurrence,True,lambda3.cost_vs_mlp,False,<=,0.8091298470261648,0.8958409433874738
recurrence,True,lambda4.success_vs_mlp,True,>=,1.0,1.0
recurrence,True,lambda4.moves_vs_mlp,True,<=,44.83105980649677,44.83105980649677
recurrence,True,lambda4.cost_vs_mlp,False,<=,1.3693618687772224,1.5276817363758657
reference,True,lambda3.neural.success,True,>=,0.95,1.0
reference,True,lambda3.analytic.success,True,>=,0.95,1.0
reference,True,lambda4.neural.success,True,>=,0.95,1.0
reference,True,lambda4.analytic.success,True,>=,0.95,1.0
